"timestamp","ozonId","error_message"
"2023-08-31T06:39:35.369Z","9781632","[sx app] no rko for sellerId 60347, open landing (no prescore)"
"2023-08-31T06:39:25.223Z","138205400","[sx app] no rko for sellerId 1309215, open landing (ec60af53-4946-4de5-bfe5-288707dd9fc0)"
"2023-08-31T06:39:25.223Z","112452319","[sx app] no rko for sellerId 422533, open landing (no prescore)"
"2023-08-31T06:39:21.125Z","123760479","[sx app] no rko for sellerId 781411, open landing (193518c0-0965-422a-b0f0-0fe334128739)"
"2023-08-31T06:39:20.880Z","112452319","[sx app] no rko for sellerId 422533, open landing (no prescore)"
"2023-08-31T06:39:15.223Z","43488045","[sx app] signin sellerId 681252"
"2023-08-31T06:39:05.537Z","93983370","[sx app] no rko for sellerId 400351, open landing (8b8fc134-cca3-4626-bd4d-00870e1ab8a7)"
"2023-08-31T06:39:05.286Z","108861032","[sx app] no rko for sellerId 1166099, open landing (8bb31019-aceb-4128-8af7-bf92e965cc04)"
"2023-08-31T06:38:55.121Z","91146274","[sx app] no rko for sellerId 1160546, open landing (2182e825-6b74-4cad-afac-0965225cc995)"
"2023-08-31T06:38:51.003Z","26553738","[sx app] no rko for sellerId 1164520, open landing (03e3397a-04d4-4705-a606-1cfe66b6f85f)"
"2023-08-31T06:38:51.003Z","113120411","[sx app] no rko for sellerId 666124, open landing (7aa31368-027a-4dfa-928f-9763503aa50d)"
"2023-08-31T06:38:51.001Z","33108872","[sx app] no rko for sellerId 966182, open landing (0867189e-18a7-433a-9357-907631115ece)"
"2023-08-31T06:38:35.226Z","120317290","[sx app] no rko for sellerId 710879, open landing (no prescore)"
"2023-08-31T06:38:31.132Z","115382194","[sx app] signin sellerId 639611"
"2023-08-31T06:38:31.132Z","68062699","[sx app] no rko for sellerId 962349, open landing (d444e33c-e7b4-4fb6-9317-e66b75f51a2a)"
"2023-08-31T06:38:24.919Z","49093206","[sx app] no rko for sellerId 190691, open landing (2efb1163-d2d6-4b20-b316-16dd75ce5ac9)"
"2023-08-31T06:38:21.023Z","49093206","[sx app] no rko for sellerId 190691, open landing (2efb1163-d2d6-4b20-b316-16dd75ce5ac9)"
"2023-08-31T06:38:05.105Z","32961015","[sx app] no rko for sellerId 677482, open landing (71debf21-818c-48b8-866f-4577be7a138f)"
"2023-08-31T06:37:51.104Z","21096439","[sx app] no rko for sellerId 1124137, open landing (e14dce9a-10fc-45e6-aba3-16efe1c5b7f0)"
"2023-08-31T06:37:45.317Z","103758184","[sx app] no rko for sellerId 356482, open landing (0c650eb3-a8da-45cb-801a-372714cfadf4)"
"2023-08-31T06:37:40.699Z","47999352","[sx app] signin sellerId 338545"
"2023-08-31T06:37:35.404Z","61091530","[sx app] no rko for sellerId 148180, open landing (ea6aa40a-88e7-4ed5-b165-bd79fbc1542f)"
"2023-08-31T06:37:25.179Z","115285165","[sx app] no rko for sellerId 196712, open landing (e46f7298-4393-45aa-9f62-a32ff2c5418b)"
"2023-08-31T06:37:21.246Z","29299357","[sx app] no rko for sellerId 462841, open landing (1bb764b2-0375-47c9-9a33-24c53b7a5c1e)"
"2023-08-31T06:37:20.923Z","40062279","[sx app] signin sellerId 904380"
"2023-08-31T06:36:51.020Z","45958618","[sx app] no rko for sellerId 1247454, open landing (no prescore)"
"2023-08-31T06:36:44.920Z","126056530","[sx app] no rko for sellerId 851528, open landing (no prescore)"
"2023-08-31T06:36:34.903Z","59061943","[sx app] no rko for sellerId 605267, open landing (1a1cf53f-9ef6-42f5-9204-d3ad85d64c90)"
"2023-08-31T06:36:24.939Z","6027084","[sx app] no rko for sellerId 132671, open landing (81c20e82-1aa1-4786-a83e-c11b3cf372e4)"
"2023-08-31T06:36:15.294Z","48755539","[sx app] no rko for sellerId 1053821, open landing (02bd8ceb-2832-42b6-8d4c-917e6372bd1a)"
"2023-08-31T06:36:11.009Z","61029182","[sx app] no rko for sellerId 618928, open landing (85ad0f9f-e058-4325-abef-bda8efa4bf3b)"
"2023-08-31T06:36:05.363Z","24221829","[sx app] no rko for sellerId 1061589, open landing (5ee47683-b4e1-44d5-b9fd-4a435ef65795)"
"2023-08-31T06:36:01.066Z","139865973","[sx app] no rko for sellerId 1317734, open landing (no prescore)"
"2023-08-31T06:36:00.986Z","24221829","[sx app] no rko for sellerId 1061589, open landing (5ee47683-b4e1-44d5-b9fd-4a435ef65795)"
"2023-08-31T06:35:45.295Z","24221829","[sx app] no rko for sellerId 1061589, open landing (5ee47683-b4e1-44d5-b9fd-4a435ef65795)"
"2023-08-31T06:35:45.235Z","24221829","[sx app] no rko for sellerId 1061589, open landing (5ee47683-b4e1-44d5-b9fd-4a435ef65795)"
"2023-08-31T06:35:35.074Z","67750037","[sx app] no rko for sellerId 156913, open landing (cc793414-8695-409a-a907-074dc57b57f0)"
"2023-08-31T06:35:31.006Z","79901349","[sx app] no rko for sellerId 1063381, open landing (7583f57f-a114-4f1d-be36-f7686fe16eb1)"
"2023-08-31T06:35:14.924Z","67750037","[sx app] no rko for sellerId 156913, open landing (cc793414-8695-409a-a907-074dc57b57f0)"
"2023-08-31T06:35:05.525Z","113499118","[sx app] no rko for sellerId 941573, open landing (0690f5e0-e6fd-450f-8c70-673ad5ba0934)"
"2023-08-31T06:35:05.364Z","17241349","[sx app] no rko for sellerId 308549, open landing (ec55d3e9-5c37-48bf-8a56-0005a3f32032)"
"2023-08-31T06:34:54.861Z","45958618","[sx app] no rko for sellerId 1247454, open landing (no prescore)"
"2023-08-31T06:34:40.692Z","37051417","[sx app] no rko for sellerId 1302665, open landing (79520348-6f54-41b0-aa76-3f23635129b0)"
"2023-08-31T06:34:40.662Z","37051417","[sx app] no rko for sellerId 1302665, open landing (79520348-6f54-41b0-aa76-3f23635129b0)"
"2023-08-31T06:34:21.033Z","131811567","[sx app] no rko for sellerId 1088015, open landing (a530e260-61bf-4148-b597-b4486fa5be35)"
"2023-08-31T06:34:20.959Z","24488912","[sx app] no rko for sellerId 536397, open landing (no prescore)"
"2023-08-31T06:34:15.147Z","61008880","[sx app] no access for 308830"
"2023-08-31T06:34:14.840Z","106001146","[sx app] no rko for sellerId 1295552, open landing (b2ebacc5-2370-4554-9820-ffc0c78672d5)"
"2023-08-31T06:34:01.159Z","102485772","[sx app] no rko for sellerId 850868, open landing (no prescore)"
"2023-08-31T06:33:54.835Z","24488912","[sx app] no rko for sellerId 536397, open landing (no prescore)"
"2023-08-31T06:33:54.832Z","123406109","[sx app] no rko for sellerId 767408, open landing (no prescore)"
"2023-08-31T06:33:51.303Z","140823514","[sx app] no rko for sellerId 1343642, open landing (04ff48db-9d00-4344-a69e-6c5711c9b498)"
"2023-08-31T06:33:45.458Z","140823514","[sx app] no rko for sellerId 1343642, open landing (04ff48db-9d00-4344-a69e-6c5711c9b498)"
